Feature,Category,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Additional notes,Original Gravity (°Plato),Apparent Extract/Final Gravity (°Plato),Alcohol by Weight (Volume),Bitterness (IBU),Color SRM (EBC)
97,Bohemian-Style Pilsener,Straw to gold,Appearance should be clear. Chill haze should not be present,"A slightly sweet and toasted, biscuity, bready malt aroma and ﬂavor is present.","Medium-low to medium, derived from late kettle hopping with noble-type hops.",Medium,"The upper limit of original gravity of versions brewed in Czech Republic is 12.99 °Plato or 1.052 specific gravity. Esters are usually not present, but if present should be extremely low, at the limit of perception. Very low levels of diacetyl, if present, are acceptable and may accent malt character. Low levels of sulfur compounds may be present. DMS and acetaldehyde should not be present.",Medium,"These beers can be fermented with either ale or lager yeast. The grist should include at least 30 percent malted wheat. Versions served with yeast may exhibit somewhat higher perceived bitterness and fuller mouthfeel. If present, yeast character and flavor can range from low to medium, and should be in harmony with malt and hop attributes, and not sharp. When using these guidelines as the basis for evaluating entries at competitions, organizers may wish to further subcategorize this category based on the presence or absence of yeast, use of darker malts, etc.",1.044-1.052 (11-12.99 °Plato),1.013-1.018 (3.3-4.5 °Plato),3.20%-4.00% (4.10%-5.10%),25-45,3-6(6-12 EBC)
98,Munich-Style Helles,Pale to gold,Appearance should be clear. Chill haze should not be present,Malt aroma and ﬂavor are pronounced. Low levels of yeast-produced sulfur aromas and ﬂavors may be present. Malt character is sometimes bready and suggestive of lightly toasted malted barley. There should be no caramel character.,"Hop aroma is not present to low. Hop ﬂavor is very low to low, derived from noble-type hops.","Low, derived from European noble-type hops.","Fruity esters, DMS, and diacetyl should not be present. A very low level of sulfur attributes may be present in balance with other attributes.",Medium,"Fruit aromas, ranging from subtle to intense, should be present and should not be overpowered by hop aromas. Fruit or fruit extracts, used as an adjunct in either the mash, kettle, primary or secondary fermentation, provide harmonious fruit character ranging from subtle to intense. Within the framework of these guidelines, fruit beers fermented with Belgian yeast (Wit, Abbey, Farmhouse, Saison, or Brettanomyces) should be categorized as Belgian-Style Fruit Beers, or possibly as fruited Brett Beers. Some beers may fit into this category if they contain fruity adjuncts but no actual fruit. As an example, a juniper berry-ﬂavored beer with notable juniper berry fruity ﬂavor or aroma would be categorized as a Fruit Beer, whereas a beer in which the juniper berry character is more herbal or spicy would be categorized as an Herb and Spice Beer. Fruit Beers brewed with more than 30% wheat are categorized as Fruit Wheat Beers. Fruit Beers brewed with unusual fermentable(s), but no wheat, should be categorized as Fruit Beers. All of the various India Pale Ale or Imperial India Pale Ale styles brewed as Fruit Beers are categorized as Experimental India Pale Ales. All fruited Sour Beers are categorized elsewhere. All fruited Wood- and Barrel-Aged beers whether sour or not are categorized elsewhere. Within the framework of these guidelines, coconut is deﬁned as a vegetable, and a beer containing coconut is categorized as Field Beer. Likewise beers containing chili peppers are categorized as Chili Beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as fruit(s) used or processing which influence perceived sensory outcomes.",1.044-1.05 (11-12.4 °Plato),1.008-1.012 (2.1-3.1 °Plato),3.80%-4.40% (4.80%-5.60%),18-25,4-5.5(8-11 EBC)
99,Dortmunder/European-Style Export,Straw to deep gold,Appearance should be clear. Chill haze should not be present,Sweet malt character should be low and should not be caramelly,"Very low to low, derived from noble-type hops.",Medium,Fruity esters and diacetyl should not be present.,Medium,"The grist should include at least 30 percent malted wheat. Fruit or fruit extracts contribute aroma and ﬂavor expressing true fruit complexity. Versions served with yeast should demonstrate a full yeasty mouthfeel. Fruited examples of wheat beer styles that are not commonly brewed with fruit and do not exhibit attributes of wood-aging should be categorized as Fruit Wheat Beers. These could include fruited versions of various wheat beer styles of European origin such as Weizens, Adambier or Grodziskie. Fruited wheat beers that exhibit sourness fall within various fruited sour beer categories. Such beers could deviate from parameters shown for those styles but should be suggestive of the underlying classic beer style with fruit added. Fruited versions of Berliner Weisse or Contemporary Gose fall within those categories as they are commonly brewed with fruit. Within the framework of these guidelines, coconut is deﬁned as a vegetable, and a beer containing coconut is categorized as Field Beer. Likewise beers containing chili peppers are categorized as Chili Beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as fruit(s) used or processing which influence perceived sensory outcomes.",1.048-1.057 (11.9-14 °Plato),1.01-1.014 (2.6-3.6 °Plato),4.00%-4.80% (5.10%-6.10%),23-29,3-6(6-12 EBC)
100,Vienna-Style Lager,Deep Gold to reddish-brown,Appearance should be clear. Chill haze should not be present,"Characterized by malty aroma and light malt sweetness, which should have a lightly toasted malt character.","Very low to low, derived from noble-type hops.","Low to medium-low, clean, and crisp.","DMS, diacetyl, and fruity esters should not be present.",Medium,"Fruit aromas, ranging from subtle to intense, should be present and should not be overpowered by hop aromas. Belgian-Style Fruit Beers are fermented with traditional Belgian yeast, (Wit, Abbey, Farmhouse, etc.). Fruit or fruit extracts, used as adjuncts in either the mash, kettle, primary or secondary fermentation, provide harmonious fruit character ranging from subtle to intense. Classifying these beers can be complex. Within the framework of these guidelines, coconut is deﬁned as a vegetable, and a beer containing coconut is categorized as Field Beer. Likewise a beer containing chili peppers is categorized as Chili Beer. Because wood vessels may be used for fermentation or aging, attributes typical of wood-aging such as vanillin, or from liquids previously aged in wood may be present. Fruited Belgian-style beers which exhibit Brettanomyces may be categorized in this style. However, a fruited Saison exhibiting Brett character should be categorized as a Specialty Saison. A fruited version of a Brett Beer is categorized as Fruited Brett Beer when such a Brett-containing beer is not based on an existing underlying Belgian beer style. A Lambic-Style fruit beer should be categorized as a Belgian-Style Fruit Lambic. Fruited Belgian-Style beers brewed with additional adjuncts could fall in this category or perhaps as Experimental Beers. Fruit beers fermented with German, British or American ale or lager yeast should be categorized as American-Style Fruit Beers or as Fruit Wheat Beers. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as fruit(s) used or processing (wood-aging for example) which influence perceived sensory outcomes.",1.046-1.056 (11.4-13.8 °Plato),1.012-1.018 (3.1-4.6 °Plato),3.80%-4.30% (4.80%-5.40%),22-28,6-18(12-36 EBC)
101,Franconian-Style Rotbier,Amber to dark red,Clear to slightly hazy for unfiltered versions. Chill haze should not be present.,Light toasted malt aroma and malt sweetness is typical. Light caramel or biscuit character may be present.,"Low to medium-low, with attributes typical of noble-type hops.","Low to medium-low, producing a clean finish.","DMS, diacetyl, fruity esters, and phenolic attributes should not be present.",Medium,"Vegetable aromas, ranging from subtle to intense, should be present and should not be overpowered by hop aromas. Field Beers are any beers incorporating vegetables as ﬂavor or carbohydrate adjuncts in either the mash, kettle, primary or secondary fermentation. The vegetable character should be in harmony with other attributes and can range from subtle to intense. Within the framework of these guidelines, coconut is deﬁned as a vegetable, and a beer containing coconut is categorized as Field Beer. However, within the framework of these guidelines, India Pale Ales brewed with vegetables are categorized as Experimental India Pale Ale. All beers containing chili peppers are categorized as Chili Beer. Nuts generally impart much more ﬂavor than fermentables; within the framework of these guidelines, beers containing nuts are categorized as Field Beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as vegetable(s) used or processing which influence perceived sensory outcomes.",1.046-1.056 (11.4-13.8 °Plato),1.008-1.01 (2.1-2.6 °Plato),3.80%-4.40% (4.80%-5.60%),20-28,13-23(26-46 EBC)
102,German-Style Maerzen,Pale to reddish-brown,Appearance should be clear. Chill haze should not be present,Bready or biscuity malt aroma and flavor should be present. Sweet maltiness is medium-low to medium and leads to a muted clean hop bitterness. Malt ﬂavors should be of light toast rather than strong caramel. Low level caramel character is acceptable.,Low with attributes typical of noble hop varieties,Medium-low to medium,Fruity esters and diacetyl should not be present,Medium,"These are any beers using pumpkins (Cucurbita pepo) or winter squash as an adjunct in either the mash, kettle, primary or secondary fermentation. Pumpkin or squash may not be present or may range from subtle to intense. They are spiced with other ingredients whose character should be present and in balance. While cinnamon, allspice, clove, and nutmeg are common spices added to American-type pumpkin beers, other spices may be used. For example, a brewer could replicate a Wit-Pumpkin spiced beer by using orange peel and coriander. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as spice(s) used, pumpkin or squash used, if any, and related processing or other factors which influence perceived sensory outcomes.",1.05-1.06 (12.4-14.7 °Plato),1.012-1.02 (3.1-5.1 °Plato),4.00%-4.70% (5.10%-6.00%),18-25,4-15(8-30 EBC)
103,German-Style Oktoberfest/Wiesn,Straw to gold,Appearance should be clear. Chill haze should not be present,"Clean, sweet, bready malt profile is low to medium-low",Very low to low,Very low to low and in balance with low sweet maltiness,Fruity esters and diacetyl should not be present,Medium,"Pumpkin/Squash beers are any beers incorporating pumpkins (Cucurbita pepo) or winter squash as an adjunct in either the mash, kettle, primary or secondary fermentation. Pumpkin or squash aromas and flavors, ranging from subtle to intense, should be present. Pumpkin/Squash beer is not spiced, but may have ﬂavors associated with other beer styles such as smoked beer, fruit beer, sour beer, etc. Spice aromas and ﬂavors should be absent. Versions exhibiting spice aromas or ﬂavors are categorized as Pumpkin Spice Beer, as Herb and Spice beer, or possibly as Experimental beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as pumpkin or squash used and related processing, or other factors which influence perceived sensory outcomes.",1.048-1.056 (11.9-13.8 °Plato),1.01-1.014 (2.6-3.6 °Plato),4.00%-4.80% (5.10%-6.10%),23-29,3-5(6-10 EBC)
104,Munich-Style Dunkel,Light brown to brown,Appearance should be clear. Chill haze should not be present,"Malt character is low to medium, with chocolate, roast, bread, or biscuit aromas and flavors contributed by using dark Munich malt or other specialty malts.","Very low to low, with attributes typical of noble-type hops.",Medium-low to medium,Fruity esters and diacetyl should not be present,Low to medium-low,"Coffee beers incorporate coffee in any form. Coffee character should be apparent as the defining attribute of this category, ranging from subtle to intense, and should be in harmony with other attributes of the underlying beer. Other flavors arising from the use of flavored coffee may also be present. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may create categories which reflect groups of coffee beers based on underlying beer style or other factors. Brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type or form of coffee used or other factors which influence perceived sensory outcomes.",1.048-1.056 (11.9-13.8 °Plato),1.014-1.018 (3.6-4.6 °Plato),3.80%-4.20% (4.80%-5.30%),16-25,15-25(30-49 EBC)
105,European-Style Dark Lager,Light brown to dark brown,Appearance should be clear. Chill haze should not be present,"Low to medium with chocolate, roast, and malt aromas and flavors present.",Very low to low with attributes typical of noble-type hops.,Medium-low to medium-high,"Fruity esters should not be present. In most examples diacetyl should not be present, however some Czech dark lagers allow for low levels of diacetyl",Low to medium-low,"Chili Beer is any beer using chili peppers for ﬂavor, aroma, or heat. Chili character can range from subtle to intense. Chili pepper aroma may or may not be present. Within the framework of these guidelines, all beers containing chili peppers are categorized as Chili Beers. A beer made with chili peppers which represents more than one style, such as a chocolate beer or India Pale Ale made with chilis, for example, should nonetheless be categorized as Chili Beer rather than as Experimental Beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as chili(s) used or processing which influence perceived sensory outcomes.",1.048-1.056 (11.9-13.8 °Plato),1.014-1.018 (3.6-4.6 °Plato),3.80%-4.20% (4.80%-5.30%),20-35,15-24(30-48 EBC)
106,German-Style Schwarzbier,"Very dark brown to black, with a pale-colored head.","Beer color may be too dark to perceive. When clarity is perceivable, chill haze should not be present.",Medium malt aroma displays a mild roasted malt character. Malt sweetness is low to medium and displays a mild roasted malt character without bitterness.,"Hop aroma and ﬂavor is very low to low, derived from noble-type hops.",Low to medium,Fruity esters and diacetyl should not be present.,Low to medium-low,"Herb and Spice beer is any beer brewed with herbs or spices derived from leaves, roots, seeds, fruits, vegetables, ﬂowers, etc. and which exhibits herbal or spicy attributes. Herb or spice character can range from subtle to intense. Classifying these beers can be complex. Beers which exhibit herbal or spicy character are considered Herb and Spice Beer. Beers brewed with chili peppers are categorized as Chili Pepper Beer. Beers brewed with or without pumpkin in which herb or spice attributes typical of pumpkin pie dominate are categorized as Pumpkin Spice Beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type or form of herb(s) or spice(s) used or other factors which influence perceived sensory outcomes.",1.044-1.052 (11-12.9 °Plato),1.01-1.016 (2.6-4.1 °Plato),3.00%-3.90% (3.80%-4.90%),22-30,25-40(50-80 EBC)
107,Bamberg-Style Helles Rauchbier,Light pale to gold,Appearance should be clear. Chill haze should not be present,"Malt character is prominent with malt aromas suggesting lightly toasted sweet, malted barley. Smoke beechwood character ranges from very low to medium. Smoky aroma should be not harshly phenolic. Sulfur may be present at low levels. There should be no caramel character. Smoke ﬂavor may create a perception of mild sweetness.","Hop aroma and ﬂavor is very low to low, derived from noble-type hops.",Low to medium,Fruity esters and diacetyl should not be present. Very low levels of sulfur-related compounds are acceptable.,Medium,"When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type or form of unusual carbohydrate source used or other factors which influence perceived sensory outcomes.",1.044-1.05 (11-12.4 °Plato),1.008-1.012 (2.1-3.1 °Plato),3.80%-4.40% (4.80%-5.60%),18-25,4-5.5(8-11 EBC)
108,Bamberg-Style Maerzen Rauchbier,Pale to light brown,Appearance should be clear. Chill haze should not be present,"Sweet toasted malt aroma should be present. Medium-low to medium toasted malt sweetness should be present. Aroma and flavor of smoked beechwood ranges from very low to medium. Smoke ﬂavors should be smooth, without harshness. Aroma should strike a balance between malt, hop, and smoke.","Hop aroma and ﬂavor is very low to low, derived from noble-type hops.",Low to medium,Fruity esters and diacetyl should not be present,Full,"When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type of honey used or other factors which influence perceived sensory outcomes.",1.05-1.06 (12.4-14.7 °Plato),1.012-1.02 (3.1-5.1 °Plato),4.00%-4.70% (5.10%-6.00%),18-25,4-15(8-30 EBC)
109,Bamberg-Style Bock Rauchbier,Dark brown to very dark,Appearance should be clear. Chill haze should not be present,"Medium to medium-high malt aroma and ﬂavor should be present with very low to medium-high beechwood smoke aromas and ﬂavors. Smoke flavors should be smooth, without harshness. Smoke ﬂavor may create a perception of mild sweetness.",Very low,"Medium, increasing proportionately with starting gravity.","Fruity esters are usually absent, but if present should be very low. Diacetyl should not be present.",Medium to full,"The grist should include sufﬁcient rye so that rye character is evident in the beer. Rye character is often described as any of spicy, black pepper-like, or earthy attributes. Beers brewed with rye that do not exhibit rye character are categorized in other beer styles. Versions served with yeast should possess a full yeasty mouthfeel. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other factors which influence perceived sensory outcomes.",1.066-1.074 (16.1-18 °Plato),1.018-1.024 (4.6-6.1 °Plato),5.00%-6.00% (6.30%-7.60%),20-30,20-30(40-60 EBC)
110,German-Style Heller Bock/Maibock,"Pale to light amber. The German word ‘helle’ means light-colored, thus Heller Bock is a pale beer.",Appearance should be clear. Chill haze should not be present,Light toasty or bready aroma and flavor attributes are often present. Roast or heavy toast/caramel malt aromas and ﬂavors should not be present.,"Low to medium-low, derived from noble-type hops.",Low to medium-low,"Fruity esters, if present, should be low. Diacetyl should not be present.",Medium to full,"Fruited versions will exhibit fruit ﬂavors in balance with other elements. Wood vessels may be used for fermentation and aging; such beers may or may not exhibit attributes typical of wood-aging such as vanillin or of liquids previously aged in a barrel (bourbon, sherry, etc.) A beer exhibiting additional sensory attributes arising from microbes other than Brett is categorized as Mixed Culture Brett Beer. Various India Pale Ales fermented with Brett are categorized as Experimental India Pale Ale. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type of Brett(s) used, fruit(s), type of wood used, or other ingredients or factors which influence perceived sensory outcomes.",1.066-1.074 (16.1-18 °Plato),1.012-1.02 (3.1-5.1 °Plato),5.00%-6.40% (6.30%-8.10%),20-38,4-9(8-18 EBC)
111,Traditional German-Style Bock,Dark brown to very dark,Appearance should be clear. Chill haze should not be present,"Traditional Bocks are made with all malt and have high malt character with aromas of toasted or nutty malt, but not caramel. Traditional bocks display high malt sweetness. The malt ﬂavor profile should display a balance of sweetness and toasted or nutty malt, but not caramel.",Very low,"Medium, increasing proportionately with starting gravity.",Fruity esters if present should be minimal. Diacetyl should not be present.,Medium to full,"Fruited versions will exhibit fruit ﬂavors in balance with other elements. Wood vessels may be used for fermentation and aging; such beers may or may not exhibit attributes typical of wood-aging such as vanillin or of liquids previously aged in a barrel (bourbon, sherry, etc.). When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type of Brett(s) and other culture(s) used, fruit(s), type of wood used (if any), or other ingredients or processing which influence perceived sensory outcomes.",1.066-1.074 (16.1-18 °Plato),1.018-1.024 (4.6-6.1 °Plato),5.00%-6.00% (6.30%-7.60%),20-30,20-30(40-60 EBC)
112,German-Style Doppelbock,Copper to dark brown,Appearance should be clear. Chill haze should not be present,Pronounced aromas and flavors of toasted malted barley. Some caramel and toffee character can contribute to complexity in a secondary role. Dark fruit flavors such as prune and raisin may be present. Malty sweetness is pronounced but should not be cloying. There should be no astringency from roasted malts.,Hop aroma is absent. Hop ﬂavor is low.,Low,Alcoholic strength is high. Fruity esters are commonly perceived at low to moderate levels. Diacetyl should not be present.,Full,High carbonation should be present.,1.074-1.08 (18-19.3 °Plato),1.014-1.02 (3.6-5.1 °Plato),5.20%-6.20% (6.60%-7.90%),17-27,12-30(24-60 EBC)
113,German-Style Eisbock,Light brown to black,Appearance should be clear. Chill haze should not be present,Sweet malt character is very high. Dark fruit flavors such as prune and raisin may be present,Hop aroma and ﬂavor is absent,Very low to low,"Alcohol may be present in aroma. Fruity esters may be evident, but not overpowering. Diacetyl should not be present. Alcoholic strength is very high.",Very full,"These beers are highly attenuated with an assertive hop character and a dry, crisp finish. Competition organizers may create subcategories for ales and lagers, or which reflect groups of entries based on fresh hops in unprocessed, frozen, or kilned form. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as hop varieties used, unprocessed, frozen, or kilned, processing or timing of addition(s) (kettle, whirlpool, fermenter, aging tank, etc.), other ingredients used or other factors which influence perceived sensory outcomes.",1.074-1.116 (18-27.2 °Plato),N/A,6.80%-11.30% (8.60%-14.30%),26-33,15-50(30-100 EBC)
114,Chocolate or Cocoa Beer,Can range from pale to very dark depending on the underlying style,Clear to hazy is acceptable,Medium-low to medium-high malt sweetness balanced with cocoa ﬂavors and aromas,Hop aroma may vary based on underlying style and often may be lower than is designated for underlying style allowing chocolate to contribute to the ﬂavor proﬁle without becoming excessively bitter.,Very low to medium-low,"Typical of underlying beer style. Attributes derived from chocolate or cocoa should be apparent in all such beers, ranging from subtle to intense, and in harmony with the overall flavor profile of the beer.",Varies with underlying style,"These are any traditional or experimental style of lager, ale or hybrid beer aged in either a wooden barrel or in contact with wood, and exhibiting acidity derived from exposure to bacteria. These beers are aged in the presence of microflora (either present in the wood or introduced at some time in the brewing process) with the intention of introducing sourness to the beer. These beers are aged with the intention of developing unique attributes imparted by the wood, or by liquids that had previously been stored in contact with the wood. Wood-aging does not necessarily impart wood ﬂavors but does result in distinctive sensory outcomes. Used sherry, rum, whiskey, tequila, port, wine, and other barrels are often used, imparting complexity and uniqueness to a beer. A balance of aroma, ﬂavor, and mouthfeel results from the marriage of new beer with attributes imparted by the wood or barrel, and with sourness or other attributes derived from bacteria. Wood-Aged Sour Beer fermented with Brettanomyces or which exhibit sensory attributes typical of Brettanomyces is categorized elsewhere. Such beers made with combinations of fruit(s), herb(s) or spice(s), or other ingredients, and which therefore represent combinations of multiple hybrid beer styles, are categorized as Experimental Wood- and Barrel-Aged Beer. Versions made with fruit(s) will exhibit attributes of wood-aging, acidity, and those added fruit(s). Competition organizers may choose to create subcategories for Wood-aged sour beers made with fruit or other ingredients. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as length of time aged, type of wood or barrel, age, char level or previous liquids held by the wood, micro flora present if known, other ingredients or other processing which influence perceived sensory outcomes.",Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
115,American-Style Lager,Straw to gold,Chill haze should not be present,Malt sweetness is very low to low,Not present to very low,Not present to very low,"Fruity esters are usually absent, but may be present at very low levels. Diacetyl, acetaldehyde, and DMS should not be present.",Low,"Within the framework of these guidelines, various Wood- and Barrel-Aged Beers which subsequently undergo aging of one or more years in glass or stainless, and, which clearly exhibit sensory outcomes of that additional aging, may be categorized as Aged Beers. However, Brett Beers, Sour Beers or any other beers exhibiting attributes of aging in the presence of any microflora must be categorized elsewhere. Beers which have undergone aging, but which do not exhibit attributes typical of aging, are categorized within their base styles. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as length of time aged, type of vessel, duration of aging process, other ingredients or other processing which influence perceived sensory outcomes.",1.04-1.048 (10-11.9 °Plato),1.006-1.012 (1.5-3 °Plato),3.20%-4.00% (4.10%-5.10%),5-15,2-4(4-8 EBC)
116,Contemporary American-Style Lager,Straw to gold,Chill haze should not be present,Malt sweetness and aroma are very low to low,Very low to low,Very low to low,"Fruity esters are usually absent but may be present at very low levels. Diacetyl, acetaldehyde, and DMS should not be present.",Low,"Experimental beers are beers that 1. employ unique and unusual techniques, ingredients, or both; or 2. beers that do not meet the criteria of individual existing categories, representing a combination of two or more hybrid, specialty or classic categories (with the exception of beers brewed with chili peppers). Experimental beers are primarily grain-based with a minimum of 51% of fermentable carbohydrates derived from malted grains. Beers produced using non-experimental techniques or ingredients are considered experimental beers if their properties overlap two or more existing categories and exhibit the distinctive characteristics of each of those categories. Uniqueness is the primary consideration when evaluating this category. Within the framework of these guidelines, ﬁeld, fruit, chocolate, coffee, spice, specialty, wood-aged or other beers that fit within another individual hybrid category are not categorized as experimental beers. Within the framework of these guidelines, all beers brewed with chili peppers are categorized as chili beers, and should not be categorized as experimental beers. Within the framework of these guidelines, experimental beers which otherwise meet the criteria of various India Pale Ale and Imperial India Pale Ale categories from around the world are categorized as Experimental India Pale Ale. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include an underlying beer style(s) upon which the entry is based (if such style(s) is apparent), or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes. Competition organizers may create subcategories which reflect groups of entries based on color, hop varieties, microflora, fruit, spices or other ingredients, wood-aging, etc.",1.04-1.048 (10-11.9 °Plato),1.006-1.012 (1.5-3 °Plato),3.20%-4.00% (4.10%-5.10%),5-16,2-4(4-8 EBC)
117,American-Style Light Lager,Very light to pale,Chill haze should not be present,Very low,Absent to very low,Absent to very low,"Fruity esters are usually absent but may be present at very low levels. Diacetyl, acetaldehyde, and DMS should not be present. These beers are characterized by an extremely high degree of attenuation. Final gravity is often less than 1.000 (0.0 ºPlato).",Low with dry mouthfeel,"Beers in this category recognize the cutting edge of IPA brewing around the world. Experimental India Pale Ales are either 1) any of White, Red, Brown, Brut (fermented with champagne yeasts), Brett (fermented with Brettanomyces), Lager (fermented with lager yeasts), or many other IPA or Imperial IPA types or combinations thereof currently in production, and fruited or spiced versions of these, or 2) fruited, spiced, field (flavored with vegetables other than chili peppers), wood- and barrel-aged, or other elaborated versions of classic American, Juicy or Hazy, Imperial, British, or any other IPA categories. They range widely in color, hop, and malt intensity and attributes, hop bitterness, balance, alcohol content, body, and overall flavor experience. Dark versions of India Pale Ale that do not meet the specifications for American-Style Black Ale may be considered Experimental India Pale Ale. Fruited and spiced versions exhibit attributes typical of those ingredients, in harmony with hop impression and overall flavor experience. Lactose may be used to enhance body and balance, but should not lend to, or overwhelm, the flavor character of these beers. Classifying these beers can be complex. India Pale Ales brewed with honey are categorized here. Spiced or fruited versions of these beers, or those made with unusual fermentables or honey, are categorized as Experimental India Pale Ale. India Pale Ales flavored with nuts, coconut or other vegetables are categorized here rather than as Field Beers. However, within the framework of these guidelines, all beers brewed with chili peppers are categorized as Chili Beers; India Pale Ale brewed w/ chili peppers in any form are categorized as Chili Beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes.",1.024-1.04 (6.1-10 °Plato),0.992-1.008 (minus 2.1-2.1 °Plato),2.80%-3.50% (3.50%-4.40%),4-10,1.5-4(3-8 EBC)
118,Contemporary American-Style Light Lager,Very light to medium amber. The word ‘Light’ refers to light body and reduced calories rather than color.,Chill haze should not be present,Very low but present,Very low to low,Very low to low,"Fruity esters are usually absent but may be present at very low levels. Diacetyl, acetaldehyde, and DMS should not be present. These beers are characterized by an extremely high degree of attenuation. Final gravity is often less than 1.000 (0.0 ºPlato).","Low to medium-low, often with dry mouthfeel","Beers in this category include established historical beers or brewing traditions from any era or part of the world that do not fit within another beer style defined within these guidelines. Some Historical beers that could fit categories such as Experimental, Herb & Spice, Field Beer, etc. may be categorized as historical beers. This category pays tribute to beers that incorporate unique brewing ingredients, techniques, or both that were used in the past. Within the framework of these guidelines, examples of Historical Beers include South American Chicha, Nepalese Chong/Chang, African sorghum-based beers, and countless others. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style(s) upon which the entry is based, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes. Competition organizers may create subcategories which reflect historic beer styles. Evaluations are based on technical skill and overall balance, and factors such as uniqueness, heritage, regional distinction as well as background information about the beer and how well it represents the spirit of the category.",1.024-1.04 (6.1-10 °Plato),0.992-1.008 (minus 2.1-2.1 °Plato),2.80%-3.50% (3.50%-4.40%),4-15,1.5-12(3-24 EBC)
