Feature,value
Original Gravity (°Plato),1.03-1.11 (7.6-25.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.03 (1.5-7.6 °Plato)
Alcohol by Weight (Volume),2.00%-9.50% (2.50%-12.00%)
Bitterness (IBU),5-70
Color SRM (EBC),5-50(10-100 EBC)
Category,Field Beer
Color,"Can range from pale to very dark depending on the underlying style and is often influenced by the color of added field ingredients (vegetables, nuts, etc.)"
Clarity,Clear to hazy is acceptable
Perceived Malt Aroma & Flavor,Very low to medium-high
Perceived Hop Aroma & Flavor,Very low to medium-high
Perceived Bitterness,Very low to medium-high. Vegetable character should not be muted by hop character.
Fermentation Characteristics,Varies with underlying style
Body,Varies with underlying style
Additional notes,"Vegetable aromas, ranging from subtle to intense, should be present and should not be overpowered by hop aromas. Field Beers are any beers incorporating vegetables as ﬂavor or carbohydrate adjuncts in either the mash, kettle, primary or secondary fermentation. The vegetable character should be in harmony with other attributes and can range from subtle to intense. Within the framework of these guidelines, coconut is deﬁned as a vegetable, and a beer containing coconut is categorized as Field Beer. However, within the framework of these guidelines, India Pale Ales brewed with vegetables are categorized as Experimental India Pale Ale. All beers containing chili peppers are categorized as Chili Beer. Nuts generally impart much more ﬂavor than fermentables; within the framework of these guidelines, beers containing nuts are categorized as Field Beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as vegetable(s) used or processing which influence perceived sensory outcomes."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style(Varies with style EBC)
Category,Pumpkin Spice Beer
Color,Can vary from pale to very dark depending on the underlying style
Clarity,Clear to hazy is acceptable
Perceived Malt Aroma & Flavor,Can vary from low to medium-high depending on the underlying style
Perceived Hop Aroma & Flavor,"None to medium and, if present, in harmony with spice, pumpkin or squash, and other attributes."
Perceived Bitterness,Low to medium-low
Fermentation Characteristics,Typical of underlying beer style
Body,Varies with underlying style
Additional notes,"These are any beers using pumpkins (Cucurbita pepo) or winter squash as an adjunct in either the mash, kettle, primary or secondary fermentation. Pumpkin or squash may not be present or may range from subtle to intense. They are spiced with other ingredients whose character should be present and in balance. While cinnamon, allspice, clove, and nutmeg are common spices added to American-type pumpkin beers, other spices may be used. For example, a brewer could replicate a Wit-Pumpkin spiced beer by using orange peel and coriander. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as spice(s) used, pumpkin or squash used, if any, and related processing or other factors which influence perceived sensory outcomes."
Original Gravity (°Plato),1.03-1.11 (7.6-25.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.03 (1.5-7.6 °Plato)
Alcohol by Weight (Volume),2.00%-9.50% (2.50%-12.00%)
Bitterness (IBU),5-35
Color SRM (EBC),5-50(10-100 EBC)
Category,Pumpkin/Squash Beer
Color,Can range from pale to very dark depending on the underlying style
Clarity,Clear to hazy is acceptable
Perceived Malt Aroma & Flavor,Can vary from low to medium-high depending on the underlying style
Perceived Hop Aroma & Flavor,None to medium
Perceived Bitterness,Low to medium-low
Fermentation Characteristics,Typical of underlying beer style
Body,Varies with underlying style
Additional notes,"Pumpkin/Squash beers are any beers incorporating pumpkins (Cucurbita pepo) or winter squash as an adjunct in either the mash, kettle, primary or secondary fermentation. Pumpkin or squash aromas and flavors, ranging from subtle to intense, should be present. Pumpkin/Squash beer is not spiced, but may have ﬂavors associated with other beer styles such as smoked beer, fruit beer, sour beer, etc. Spice aromas and ﬂavors should be absent. Versions exhibiting spice aromas or ﬂavors are categorized as Pumpkin Spice Beer, as Herb and Spice beer, or possibly as Experimental beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as pumpkin or squash used and related processing, or other factors which influence perceived sensory outcomes."
Original Gravity (°Plato),1.03-1.11 (7.6-25.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.03 (1.5-7.6 °Plato)
Alcohol by Weight (Volume),2.00%-9.50% (2.50%-12.00%)
Bitterness (IBU),5-35
Color SRM (EBC),5-50(10-100 EBC)
Category,Coffee Beer
Color,Pale to black depending on the underlying style
Clarity,Clear to hazy is acceptable
Perceived Malt Aroma & Flavor,Varies with underlying style to provide balance with coffee ﬂavor and aroma
Perceived Hop Aroma & Flavor,Low to high depending on the underlying style
Perceived Bitterness,Varies with underlying style
Fermentation Characteristics,Typical of underlying style
Body,Reﬂective of the underlying beer style
Additional notes,"Coffee beers incorporate coffee in any form. Coffee character should be apparent as the defining attribute of this category, ranging from subtle to intense, and should be in harmony with other attributes of the underlying beer. Other flavors arising from the use of flavored coffee may also be present. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may create categories which reflect groups of coffee beers based on underlying beer style or other factors. Brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type or form of coffee used or other factors which influence perceived sensory outcomes."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Chili Pepper Beer
Color,Can range from pale to very dark depending on the underlying style
Clarity,Can range from clear to hazy depending on the underlying beer style
Perceived Malt Aroma & Flavor,Can vary from very low to medium-high depending on the underlying style
Perceived Hop Aroma & Flavor,Very low to very high
Perceived Bitterness,Very low to medium-high
Fermentation Characteristics,"Chili pepper aroma and ﬂavor attributes should be harmonious with the underlying beer style. Chili pepper character may be expressed as vegetal, spicy, or hot on the palate."
Body,Representative of underlying style
Additional notes,"Chili Beer is any beer using chili peppers for ﬂavor, aroma, or heat. Chili character can range from subtle to intense. Chili pepper aroma may or may not be present. Within the framework of these guidelines, all beers containing chili peppers are categorized as Chili Beers. A beer made with chili peppers which represents more than one style, such as a chocolate beer or India Pale Ale made with chilis, for example, should nonetheless be categorized as Chili Beer rather than as Experimental Beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as chili(s) used or processing which influence perceived sensory outcomes."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style(Varies with style EBC)
Category,Herb and Spice Beer
Color,Varies depending on underlying style
Clarity,Clear to hazy is acceptable
Perceived Malt Aroma & Flavor,"Varies depending on intention of brewer, underlying beer style, and intensity of herb or spice aroma attributes"
Perceived Hop Aroma & Flavor,Not essential but may be present and may be more assertive than herb-spice character
Perceived Bitterness,Very low to medium-low. Reduced hop bitterness tends to accentuate herb/spice character.
Fermentation Characteristics,Aromas and ﬂavors of individual spices may not always be identiﬁable
Body,Varies with underlying style
Additional notes,"Herb and Spice beer is any beer brewed with herbs or spices derived from leaves, roots, seeds, fruits, vegetables, ﬂowers, etc. and which exhibits herbal or spicy attributes. Herb or spice character can range from subtle to intense. Classifying these beers can be complex. Beers which exhibit herbal or spicy character are considered Herb and Spice Beer. Beers brewed with chili peppers are categorized as Chili Pepper Beer. Beers brewed with or without pumpkin in which herb or spice attributes typical of pumpkin pie dominate are categorized as Pumpkin Spice Beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type or form of herb(s) or spice(s) used or other factors which influence perceived sensory outcomes."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style(Varies with style EBC)
Category,Specialty Beer
Color,
Clarity,
Perceived Malt Aroma & Flavor,
Perceived Hop Aroma & Flavor,
Perceived Bitterness,
Fermentation Characteristics,
Body,
Additional notes,"When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type or form of unusual carbohydrate source used or other factors which influence perceived sensory outcomes."
Original Gravity (°Plato),0
Apparent Extract/Final Gravity (°Plato),0
Alcohol by Weight (Volume),0
Bitterness (IBU),0
Color SRM (EBC),0
Category,Specialty Honey Beer
Color,Very light to black depending on underlying style
Clarity,Clear to hazy is acceptable
Perceived Malt Aroma & Flavor,Varies depending on intention of brewer
Perceived Hop Aroma & Flavor,Very low to very high
Perceived Bitterness,Very low to very high
Fermentation Characteristics,Honey Beers may be brewed to a traditional style or may be experimental. Honey Beers incorporate honey as a fermentable sugar in addition to malted barley. Honey character should be present in aroma and ﬂavor but should not be overpowering. Beers which represent various India Pale Ale and Imperial India Pale Ale styles brewed with honey are categorized as Experimental India Pale Ale.
Body,Varies with underlying style
Additional notes,"When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type of honey used or other factors which influence perceived sensory outcomes."
Original Gravity (°Plato),1.03-1.11 (7.6-25.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.03 (1.5-7.6 °Plato)
Alcohol by Weight (Volume),2.00%-9.50% (2.50%-12.00%)
Bitterness (IBU),1-100
Color SRM (EBC),1-100(2-200 EBC)
Category,Rye Beer
Color,"A wide range of color is acceptable. Lighter versions are straw to copper, while darker versions are dark amber to dark brown."
Clarity,"Chill haze is acceptable in versions packaged and served without yeast. In versions served with yeast, appearance may range from hazy to very cloudy."
Perceived Malt Aroma & Flavor,"In darker versions, malt aromas and ﬂavors can optionally include low roasted malt character expressed as cocoa/chocolate or caramel. Aromatic toffee, caramel, or biscuit character may also be present. Low level roastiness, graininess, or tannin astringency is acceptable when balanced with low to medium malt sweetness."
Perceived Hop Aroma & Flavor,Low to medium-high
Perceived Bitterness,Low to medium
Fermentation Characteristics,Low levels of spicy and fruity ester aromas are typical. Yeast-derived aroma and flavor attributes such as clove-like or other phenolics may be present when consistent with underlying beer style. These beers can be fermented with either ale or lager yeast. Diacetyl should not be present. Low to medium yeast aroma may be present in versions packaged with yeast.
Body,Low to medium. Rye can impart textural qualities ranging from dry and crisp to smooth and velvety.
Additional notes,"The grist should include sufﬁcient rye so that rye character is evident in the beer. Rye character is often described as any of spicy, black pepper-like, or earthy attributes. Beers brewed with rye that do not exhibit rye character are categorized in other beer styles. Versions served with yeast should possess a full yeasty mouthfeel. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other factors which influence perceived sensory outcomes."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Brett Beer
Color,Any color is acceptable. Beer color may be influenced by the color of added fruits or other ingredients.
Clarity,Chill or yeast haze is allowable at low to medium levels at any temperature
Perceived Malt Aroma & Flavor,"In darker versions, any of roasted malt, caramel or chocolate aromas and ﬂavors are present at low levels."
Perceived Hop Aroma & Flavor,Low to high
Perceived Bitterness,Low to high
Fermentation Characteristics,"Medium to high fruity esters are present. Acidity resulting from Brettanomyces fermentation results in a complex flavor profile. Brettanomyces character should be present at low to high levels, expressed as any of horsey, goaty, leathery, phenolic, fruity, or acidic aroma and flavor attributes. Brettanomyces character may or may not be dominant. Acidity from Brettanomyces should be low to medium-low. Cultured yeast strains may be used in the fermentation. Beers fermented with Brettanomyces that do not exhibit attributes typical of Brettanomyces fermentation are categorized elsewhere. Beers in this style should not incorporate bacteria or exhibit a bacteria-derived flavor profile. Diacetyl and DMS should not be present."
Body,Low to high
Additional notes,"Fruited versions will exhibit fruit ﬂavors in balance with other elements. Wood vessels may be used for fermentation and aging; such beers may or may not exhibit attributes typical of wood-aging such as vanillin or of liquids previously aged in a barrel (bourbon, sherry, etc.) A beer exhibiting additional sensory attributes arising from microbes other than Brett is categorized as Mixed Culture Brett Beer. Various India Pale Ales fermented with Brett are categorized as Experimental India Pale Ale. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type of Brett(s) used, fruit(s), type of wood used, or other ingredients or factors which influence perceived sensory outcomes."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Mixed-Culture Brett Beer
Color,Any color is acceptable. Beer color may be influenced by the color of added fruits or other ingredients.
Clarity,"Chill haze, bacteria and yeast-induced haze is allowable at low to medium levels at any temperature."
Perceived Malt Aroma & Flavor,"In darker versions, any of roasted malt, caramel, or chocolate aromas and ﬂavors are present at low levels."
Perceived Hop Aroma & Flavor,Low to high
Perceived Bitterness,Low to high
Fermentation Characteristics,"Medium to high fruity esters are present. Acidity resulting from fermentation with Brettanomyces or bacteria results in a complex flavor profile. Brettanomyces character should be present and expressed as any of horsey, goaty, leathery, phenolic, fruity, or acidic aroma and flavor attributes. Cultured yeast may be used in the fermentation. Bacteria should be incorporated and in evidence. Bacteria will contribute acidity which may or may not dominate the flavor profile. Diacetyl and DMS should not be present."
Body,Low to high
Additional notes,"Fruited versions will exhibit fruit ﬂavors in balance with other elements. Wood vessels may be used for fermentation and aging; such beers may or may not exhibit attributes typical of wood-aging such as vanillin or of liquids previously aged in a barrel (bourbon, sherry, etc.). When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type of Brett(s) and other culture(s) used, fruit(s), type of wood used (if any), or other ingredients or processing which influence perceived sensory outcomes."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Ginjo Beer or Sake-Yeast Beer
Color,Pale to dark brown
Clarity,Slight chill haze is acceptable
Perceived Malt Aroma & Flavor,Very low to medium
Perceived Hop Aroma & Flavor,Low to medium and in harmony with sake-like character
Perceived Bitterness,Low to medium and in harmony with sake-like character
Fermentation Characteristics,These beers are brewed with sake yeast or sake (koji) enzymes. The unique byproducts of sake yeast and koji enzymes should be distinctive and in harmony with other elements. Sake character may best be described as having mild fruitiness and mild earthiness expressed as mushroom or umami protein-like attributes. A high amount of alcohol may be evident.
Body,Varies depending on original gravity. Mouthfeel also varies.
Additional notes,High carbonation should be present.
Original Gravity (°Plato),1.04-1.09 (10-21.6 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.02 (2.1-5 °Plato)
Alcohol by Weight (Volume),3.40%-8.20% (4.30%-10.20%)
Bitterness (IBU),12-35
Color SRM (EBC),4-20(8-40 EBC)
Category,Fresh Hop Beer
Color,Straw to gold
Clarity,Chill haze or hop haze is acceptable at low levels
Perceived Malt Aroma & Flavor,Low to medium-low. Caramel or roasted malt character should not be present
Perceived Hop Aroma & Flavor,"High to very high, exhibiting a wide range of attributes including floral, piney, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, resinous and many others."
Perceived Bitterness,"Medium-high to very high, but not harsh"
Fermentation Characteristics,"Fruity esters range from low to medium. DMS, acetaldehyde, and diacetyl should not be present. These beers are characterized by a high degree of attenuation."
Body,Low to medium
Additional notes,"These beers are highly attenuated with an assertive hop character and a dry, crisp finish. Competition organizers may create subcategories for ales and lagers, or which reflect groups of entries based on fresh hops in unprocessed, frozen, or kilned form. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as hop varieties used, unprocessed, frozen, or kilned, processing or timing of addition(s) (kettle, whirlpool, fermenter, aging tank, etc.), other ingredients used or other factors which influence perceived sensory outcomes."
Original Gravity (°Plato),1.055-1.07 (13.5-17.1 °Plato)
Apparent Extract/Final Gravity (°Plato),1.005-1.016 (1.5-4.1 °Plato)
Alcohol by Weight (Volume),5-6 (6.3-7.5)
Bitterness (IBU),50-75
Color SRM (EBC),2-6(4-12 EBC)
Category,Wood- and Barrel-Aged Sour Beer
Color,Varies with underlying style
Clarity,Varies with underlying style
Perceived Malt Aroma & Flavor,Varies with underlying style
Perceived Hop Aroma & Flavor,Varies with underlying style
Perceived Bitterness,Varies with underlying style
Fermentation Characteristics,Typical of underlying style of sour beer being aged
Body,Varies with underlying style
Additional notes,"These are any traditional or experimental style of lager, ale or hybrid beer aged in either a wooden barrel or in contact with wood, and exhibiting acidity derived from exposure to bacteria. These beers are aged in the presence of microflora (either present in the wood or introduced at some time in the brewing process) with the intention of introducing sourness to the beer. These beers are aged with the intention of developing unique attributes imparted by the wood, or by liquids that had previously been stored in contact with the wood. Wood-aging does not necessarily impart wood ﬂavors but does result in distinctive sensory outcomes. Used sherry, rum, whiskey, tequila, port, wine, and other barrels are often used, imparting complexity and uniqueness to a beer. A balance of aroma, ﬂavor, and mouthfeel results from the marriage of new beer with attributes imparted by the wood or barrel, and with sourness or other attributes derived from bacteria. Wood-Aged Sour Beer fermented with Brettanomyces or which exhibit sensory attributes typical of Brettanomyces is categorized elsewhere. Such beers made with combinations of fruit(s), herb(s) or spice(s), or other ingredients, and which therefore represent combinations of multiple hybrid beer styles, are categorized as Experimental Wood- and Barrel-Aged Beer. Versions made with fruit(s) will exhibit attributes of wood-aging, acidity, and those added fruit(s). Competition organizers may choose to create subcategories for Wood-aged sour beers made with fruit or other ingredients. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as length of time aged, type of wood or barrel, age, char level or previous liquids held by the wood, micro flora present if known, other ingredients or other processing which influence perceived sensory outcomes."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Aged Beer
Color,Varies with underlying style
Clarity,Varies with underlying style
Perceived Malt Aroma & Flavor,Varies with underlying style
Perceived Hop Aroma & Flavor,Varies with underlying style
Perceived Bitterness,Varies with underlying style
Fermentation Characteristics,"Aged Beers are any beers aged for over one year. A brewer may brew any type of beer of any strength and enhance its character with various aging conditions for an extended time. In general, beers with high hopping rates, roast malt, high alcohol content, and complex herbal, smoke or fruit character are the best candidates for aging. Aged Beers may be aged in bottles, cans, kegs or other non-wooden vessels. Aged character may be expressed in mouthfeel, aroma, and ﬂavor. Often, aged character is the result of oxidative reactions that either bring individual flavor components into harmony or are unique flavors unto themselves. Sherry-like and fruity flavors often develop during aging, and hop character often changes. No matter what the effect, the overall character should be balanced and without aggressive flavors. The level of change created by aging will vary with the duration of aging and the underlying beer style. Mildly-ﬂavored beers are more likely to develop aggressive and unpleasant oxidation. Positive transformations are more likely to occur in beers with higher levels of hops, malt, or alcohol."
Body,Varies with underlying style
Additional notes,"Within the framework of these guidelines, various Wood- and Barrel-Aged Beers which subsequently undergo aging of one or more years in glass or stainless, and, which clearly exhibit sensory outcomes of that additional aging, may be categorized as Aged Beers. However, Brett Beers, Sour Beers or any other beers exhibiting attributes of aging in the presence of any microflora must be categorized elsewhere. Beers which have undergone aging, but which do not exhibit attributes typical of aging, are categorized within their base styles. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as length of time aged, type of vessel, duration of aging process, other ingredients or other processing which influence perceived sensory outcomes."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Experimental Beer
Color,May vary widely with ingredients used
Clarity,Varies with ingredients used and brewing process
Perceived Malt Aroma & Flavor,May vary widely with ingredients used and brewing process
Perceived Hop Aroma & Flavor,May vary widely with ingredients used and brewing process
Perceived Bitterness,May vary widely with ingredients used and brewing process
Fermentation Characteristics,Will vary widely depending on the nature of the techniques and or ingredients used to create the beer
Body,May vary widely with ingredients used and brewing process
Additional notes,"Experimental beers are beers that 1. employ unique and unusual techniques, ingredients, or both; or 2. beers that do not meet the criteria of individual existing categories, representing a combination of two or more hybrid, specialty or classic categories (with the exception of beers brewed with chili peppers). Experimental beers are primarily grain-based with a minimum of 51% of fermentable carbohydrates derived from malted grains. Beers produced using non-experimental techniques or ingredients are considered experimental beers if their properties overlap two or more existing categories and exhibit the distinctive characteristics of each of those categories. Uniqueness is the primary consideration when evaluating this category. Within the framework of these guidelines, ﬁeld, fruit, chocolate, coffee, spice, specialty, wood-aged or other beers that fit within another individual hybrid category are not categorized as experimental beers. Within the framework of these guidelines, all beers brewed with chili peppers are categorized as chili beers, and should not be categorized as experimental beers. Within the framework of these guidelines, experimental beers which otherwise meet the criteria of various India Pale Ale and Imperial India Pale Ale categories from around the world are categorized as Experimental India Pale Ale. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include an underlying beer style(s) upon which the entry is based (if such style(s) is apparent), or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes. Competition organizers may create subcategories which reflect groups of entries based on color, hop varieties, microflora, fruit, spices or other ingredients, wood-aging, etc."
Original Gravity (°Plato),Varies widely
Apparent Extract/Final Gravity (°Plato),Varies widely
Alcohol by Weight (Volume),Varies widely
Bitterness (IBU),Varies widely
Color SRM (EBC),Varies widely
Category,Experimental India Pale Ale
Color,"Straw to very dark, varying widely with ingredients used"
Clarity,"May range from clear to very high degree of cloudiness. Starch, yeast, hop, protein, and other compounds can contribute to a wide range of hazy appearance within this category"
Perceived Malt Aroma & Flavor,"Very low to medium-low malt aroma and flavor may be present, and may exhibit attributes typical of various adjuncts and specialty malts"
Perceived Hop Aroma & Flavor,"Medium to very high hop aroma and flavor are present, with attributes typical of hops from any origin"
Perceived Bitterness,Low to very high
Fermentation Characteristics,"Fruity esters are low to high and may contribute to an overall highly fruity impression regardless of the presence or absence of fruit(s) used and can contribute to the perception of sweetness and be complementary to the hop profile. Yeast choices can vary widely as can sensory outcomes; very low to low phenolic or other attributes typical of wine, champagne or Brettanomyces yeast strains may be present but are not required. Carbonation can range from average to high, with higher levels often associated with a crisp mouthfeel. Diacetyl and DMS should not be present."
Body,"Very low to medium, depending on grist and yeast choice, enzymatic treatment, finishing adjunct(s) and other fermentation parameters. Mouthfeel can vary widely from light to full and from dry to silky."
Additional notes,"Beers in this category recognize the cutting edge of IPA brewing around the world. Experimental India Pale Ales are either 1) any of White, Red, Brown, Brut (fermented with champagne yeasts), Brett (fermented with Brettanomyces), Lager (fermented with lager yeasts), or many other IPA or Imperial IPA types or combinations thereof currently in production, and fruited or spiced versions of these, or 2) fruited, spiced, field (flavored with vegetables other than chili peppers), wood- and barrel-aged, or other elaborated versions of classic American, Juicy or Hazy, Imperial, British, or any other IPA categories. They range widely in color, hop, and malt intensity and attributes, hop bitterness, balance, alcohol content, body, and overall flavor experience. Dark versions of India Pale Ale that do not meet the specifications for American-Style Black Ale may be considered Experimental India Pale Ale. Fruited and spiced versions exhibit attributes typical of those ingredients, in harmony with hop impression and overall flavor experience. Lactose may be used to enhance body and balance, but should not lend to, or overwhelm, the flavor character of these beers. Classifying these beers can be complex. India Pale Ales brewed with honey are categorized here. Spiced or fruited versions of these beers, or those made with unusual fermentables or honey, are categorized as Experimental India Pale Ale. India Pale Ales flavored with nuts, coconut or other vegetables are categorized here rather than as Field Beers. However, within the framework of these guidelines, all beers brewed with chili peppers are categorized as Chili Beers; India Pale Ale brewed w/ chili peppers in any form are categorized as Chili Beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes."
Original Gravity (°Plato),1.06-1.1 (14.7-23.7 °Plato)
Apparent Extract/Final Gravity (°Plato),0.994-1.02 (-1.6-5.1 °Plato)
Alcohol by Weight (Volume),5.00%-8.40% (6.30%-10.60%)
Bitterness (IBU),30-100
Color SRM (EBC),3-40(6-80 EBC)
Category,Historical Beer
Color,Varies with underlying style
Clarity,Varies with underlying style
Perceived Malt Aroma & Flavor,Varies with underlying style
Perceived Hop Aroma & Flavor,Varies with underlying style
Perceived Bitterness,Varies with underlying style
Fermentation Characteristics,Varies with underlying style
Body,Varies with underlying style
Additional notes,"Beers in this category include established historical beers or brewing traditions from any era or part of the world that do not fit within another beer style defined within these guidelines. Some Historical beers that could fit categories such as Experimental, Herb & Spice, Field Beer, etc. may be categorized as historical beers. This category pays tribute to beers that incorporate unique brewing ingredients, techniques, or both that were used in the past. Within the framework of these guidelines, examples of Historical Beers include South American Chicha, Nepalese Chong/Chang, African sorghum-based beers, and countless others. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style(s) upon which the entry is based, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes. Competition organizers may create subcategories which reflect historic beer styles. Evaluations are based on technical skill and overall balance, and factors such as uniqueness, heritage, regional distinction as well as background information about the beer and how well it represents the spirit of the category."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Wild Beer
Color,Any color is acceptable. Versions made with fruits or other flavorings may take on corresponding hues.
Clarity,"Clear or hazy due to yeast, chill haze or hop haze."
Perceived Malt Aroma & Flavor,"Generally, these beers are highly attenuated resulting in very low to low malt character. Maltier versions should display good overall balance with other flavor components."
Perceived Hop Aroma & Flavor,Very low to high
Perceived Bitterness,Very low to low
Fermentation Characteristics,"Aromas may vary significantly due to fermentation attributes contributed by various known and unknown microorganisms. The overall balance should be complex and balanced. Wild beers are spontaneously fermented with microorganisms that the brewer has introduced from the ambient air/environment near the brewery in which the beer is brewed. Wild Beers may not be fermented with any cultured strains of yeast or bacteria. Wild Beers may or may not be perceived as acidic. They may include a highly-variable spectrum of ﬂavors and aromas derived from the wild microorganisms with which they are fermented. The overall balance of ﬂavors, aromas, appearance and body are important factors in assessing these beers."
Body,Very low to medium
Additional notes,"Spontaneously fermented beers with fruit, spice or other ingredients should be categorized as Wild Beers. Within the framework of these guidelines, beers which hew to classic or traditional categories such as Belgian-Style Lambic, Gueuze, Fruit Lambic, etc. should be categorized as such, rather than as Wild Beers. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style(s) upon which the entry is based, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes. Competition organizers may create subcategories which reflect groups of entries based on color, microflora, fruit, spices or other ingredients, wood-aging, etc."
Original Gravity (°Plato),Varies with style
